Time,Open,High,Low,Close,Volume
2019-11-18 19:00:00,28035.669,28039.669,28021.669,28031.169,60
2019-11-18 20:00:00,28031.169,28037.669,28008.67,28033.669,60
2019-11-18 21:00:00,28034.67,28039.67,28028.669,28039.669,15
2019-11-18 23:00:00,28042.969,28043.47,28020.469,28022.47,56
2019-11-19 0:00:00,28022.47,28028.47,27989.469,28002.47,60
2019-11-19 1:00:00,28002.47,28051.969,27991.469,28041.469,60
2019-11-19 2:00:00,28041.469,28073.469,28034.469,28052.469,60
2019-11-19 3:00:00,28052.469,28057.47,28046.469,28048.469,60
2019-11-19 4:00:00,28048.469,28066.47,28046.469,28063.969,55
2019-11-19 5:00:00,28063.969,28076.469,28047.969,28066.469,59
2019-11-19 6:00:00,28066.469,28086.469,28061.469,28080.469,60
2019-11-19 7:00:00,28079.97,28087.47,28067.969,28068.969,60
2019-11-19 8:00:00,28068.969,28120.569,28068.069,28101.569,60
2019-11-19 9:00:00,28101.07,28159.069,28099.069,28152.569,60
2019-11-19 10:00:00,28152.069,28156.569,28140.069,28141.57,60
2019-11-19 11:00:00,28141.57,28143.069,28068.07,28085.07,60
2019-11-19 12:00:00,28085.07,28090.07,28071.57,28088.57,60
2019-11-19 13:00:00,28088.57,28091.07,28068.069,28076.069,60
2019-11-19 14:00:00,28076.57,28090.069,28002.669,28006.67,60
2019-11-19 15:00:00,28006.67,28013.67,27904.169,27917.67,60
2019-11-19 16:00:00,27917.67,28007.67,27897.669,27950.669,60
2019-11-19 17:00:00,27950.669,27965.169,27892.669,27943.67,60
2019-11-19 18:00:00,27943.169,27949.169,27920.169,27929.67,60
2019-11-19 19:00:00,27929.67,27962.669,27929.669,27934.169,60
2019-11-19 20:00:00,27934.169,27958.669,27923.169,27936.17,60
2019-11-19 21:00:00,27936.169,27939.67,27923.669,27926.17,15
2019-11-19 23:00:00,27904.969,27905.47,27859.969,27866.47,60
2019-11-20 0:00:00,27865.97,27905.97,27862.969,27892.469,60
2019-11-20 1:00:00,27892.469,27897.47,27839.469,27846.47,60
2019-11-20 2:00:00,27846.47,27875.47,27838.97,27862.969,60
2019-11-20 3:00:00,27862.969,27877.469,27859.469,27863.469,60
2019-11-20 4:00:00,27863.469,27886.97,27863.469,27885.47,60
2019-11-20 5:00:00,27886.47,27891.97,27874.469,27885.47,60
2019-11-20 6:00:00,27885.47,27887.469,27865.469,27871.469,60
2019-11-20 7:00:00,27870.97,27900.47,27844.969,27857.47,60
2019-11-20 8:00:00,27857.47,27863.07,27797.07,27804.569,60
2019-11-20 9:00:00,27804.569,27834.07,27790.069,27822.569,60
2019-11-20 10:00:00,27822.569,27828.07,27798.069,27816.57,60
2019-11-20 11:00:00,27816.57,27845.069,27792.069,27845.069,60
2019-11-20 12:00:00,27845.069,27855.07,27830.069,27835.069,60
2019-11-20 13:00:00,27835.069,27858.069,27827.57,27836.069,60
2019-11-20 14:00:00,27836.069,27889.67,27834.07,27869.169,60
2019-11-20 15:00:00,27869.169,27882.67,27822.669,27854.67,60
2019-11-20 16:00:00,27855.17,27871.67,27826.67,27841.669,60
2019-11-20 17:00:00,27841.669,27865.67,27704.67,27750.169,60
2019-11-20 18:00:00,27751.669,27757.67,27674.17,27741.67,60
